model,feature,baseline_rmse,occluded_rmse,rmse_increase
lstm,sensor_9,14.620874404907227,16.186140060424805,1.5652656555175781
lstm,sensor_11,14.620874404907227,15.886229515075684,1.265355110168457
lstm,sensor_7,14.620874404907227,15.478433609008789,0.8575592041015625
lstm,sensor_14,14.620874404907227,15.439826965332031,0.8189525604248047
lstm,sensor_13,14.620874404907227,15.316658020019531,0.6957836151123047
lstm,sensor_8,14.620874404907227,15.267956733703613,0.6470823287963867
lstm,sensor_2,14.620874404907227,15.205277442932129,0.5844030380249023
lstm,sensor_12,14.620874404907227,15.062278747558594,0.4414043426513672
lstm,sensor_15,14.620874404907227,14.924956321716309,0.30408191680908203
lstm,sensor_6,14.620874404907227,14.743358612060547,0.12248420715332031
lstm,sensor_4,14.620874404907227,14.699650764465332,0.07877635955810547
lstm,sensor_17,14.620874404907227,14.658954620361328,0.03808021545410156
lstm,setting_1,14.620874404907227,14.64598560333252,0.02511119842529297
lstm,setting_3,14.620874404907227,14.620874404907227,0.0
lstm,sensor_1,14.620874404907227,14.620874404907227,0.0
lstm,sensor_5,14.620874404907227,14.620874404907227,0.0
lstm,sensor_10,14.620874404907227,14.620874404907227,0.0
lstm,sensor_16,14.620874404907227,14.620874404907227,0.0
lstm,sensor_18,14.620874404907227,14.620874404907227,0.0
lstm,sensor_19,14.620874404907227,14.620874404907227,0.0
lstm,sensor_20,14.620874404907227,14.495952606201172,-0.12492179870605469
lstm,setting_2,14.620874404907227,14.485882759094238,-0.13499164581298828
lstm,sensor_3,14.620874404907227,14.412371635437012,-0.20850276947021484
lstm,sensor_21,14.620874404907227,14.373080253601074,-0.24779415130615234
